epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,108.977,0.67583,0.57159,0.82325,0.73979,0.47241,0.57748,0.45348,0.76319,0.99816,0.83969,7.42322e-05,7.42322e-05,7.42322e-05
40,111.58,0.73256,0.58159,0.82982,0.63927,0.5268,0.57067,0.44975,0.77162,1.02329,0.84019,7.30541e-05,7.30541e-05,7.30541e-05
41,114.125,0.68503,0.54119,0.83211,0.65226,0.53234,0.57409,0.45242,0.77091,1.00338,0.8396,7.1876e-05,7.1876e-05,7.1876e-05
42,116.785,0.65619,0.50733,0.82516,0.71406,0.49795,0.58675,0.46104,0.76663,0.9648,0.84065,7.06979e-05,7.06979e-05,7.06979e-05
43,119.369,0.65334,0.51616,0.82245,0.75154,0.48084,0.58912,0.45879,0.77096,0.97469,0.83711,6.95198e-05,6.95198e-05,6.95198e-05
44,122.001,0.72987,0.55149,0.84131,0.77477,0.46728,0.57649,0.45204,0.78246,0.9707,0.83651,6.83417e-05,6.83417e-05,6.83417e-05
45,124.54,0.66028,0.52345,0.82751,0.77963,0.46748,0.57516,0.45089,0.77392,0.95998,0.83456,6.71636e-05,6.71636e-05,6.71636e-05
46,127.186,0.69772,0.524,0.83237,0.78399,0.46389,0.5842,0.45194,0.75753,0.95797,0.83691,6.59855e-05,6.59855e-05,6.59855e-05
47,129.801,0.73569,0.53046,0.83374,0.73426,0.47431,0.58791,0.45516,0.7688,0.97253,0.83905,6.48074e-05,6.48074e-05,6.48074e-05
48,132.476,0.67828,0.51117,0.82959,0.69783,0.49561,0.57643,0.451,0.76491,0.96781,0.83498,6.36293e-05,6.36293e-05,6.36293e-05
49,135.066,0.69551,0.52642,0.82855,0.70154,0.48918,0.5776,0.44865,0.76946,0.95866,0.8341,6.24512e-05,6.24512e-05,6.24512e-05
50,137.62,0.66932,0.50469,0.82734,0.67798,0.48568,0.57161,0.42876,0.75571,0.96404,0.83038,6.12731e-05,6.12731e-05,6.12731e-05
51,140.152,0.70096,0.54324,0.83642,0.7583,0.43218,0.56533,0.42613,0.74815,0.98833,0.82971,6.0095e-05,6.0095e-05,6.0095e-05
52,142.758,0.69365,0.52657,0.82561,0.69446,0.46868,0.56116,0.44729,0.73889,1.02653,0.83166,5.89169e-05,5.89169e-05,5.89169e-05
53,145.281,0.68456,0.51539,0.83026,0.71819,0.49031,0.56539,0.44968,0.7447,1.05412,0.83691,5.77388e-05,5.77388e-05,5.77388e-05
54,147.889,0.63681,0.49327,0.82087,0.764,0.47112,0.56179,0.43763,0.73874,1.04604,0.83771,5.65607e-05,5.65607e-05,5.65607e-05
55,150.457,0.64845,0.50651,0.82257,0.75382,0.47189,0.57773,0.44277,0.74585,1.03483,0.83814,5.53826e-05,5.53826e-05,5.53826e-05
56,153.043,0.66766,0.51007,0.82517,0.77292,0.44528,0.58775,0.45459,0.7538,1.05935,0.84009,5.42045e-05,5.42045e-05,5.42045e-05
57,155.633,0.66464,0.49526,0.83331,0.76499,0.4525,0.5934,0.44964,0.76164,1.08202,0.8393,5.30264e-05,5.30264e-05,5.30264e-05
58,158.194,0.67077,0.51956,0.82331,0.7281,0.47907,0.5931,0.45528,0.76672,1.07879,0.8379,5.18483e-05,5.18483e-05,5.18483e-05
59,160.827,0.69717,0.52446,0.833,0.72075,0.4995,0.59287,0.4558,0.76054,1.04781,0.83758,5.06702e-05,5.06702e-05,5.06702e-05
60,163.417,0.68031,0.50991,0.83917,0.74062,0.50159,0.59495,0.46598,0.75965,0.98681,0.83796,4.94921e-05,4.94921e-05,4.94921e-05
61,165.965,0.62735,0.47692,0.82044,0.76924,0.50207,0.59503,0.4625,0.7555,0.96099,0.83608,4.8314e-05,4.8314e-05,4.8314e-05
62,168.535,0.65079,0.50094,0.82642,0.72779,0.51688,0.60032,0.47187,0.74607,0.938,0.83478,4.71359e-05,4.71359e-05,4.71359e-05
63,171.14,0.64106,0.46979,0.82318,0.74322,0.49927,0.60653,0.47055,0.74769,0.93901,0.83501,4.59578e-05,4.59578e-05,4.59578e-05
64,173.643,0.64542,0.49003,0.82445,0.70979,0.51721,0.59878,0.47068,0.75484,0.94089,0.83298,4.47797e-05,4.47797e-05,4.47797e-05
65,176.198,0.66291,0.4977,0.82238,0.71128,0.51774,0.59779,0.47004,0.75454,0.95114,0.83335,4.36016e-05,4.36016e-05,4.36016e-05
66,178.776,0.68161,0.4847,0.82355,0.70927,0.50734,0.59711,0.46715,0.74952,0.96273,0.82534,4.24235e-05,4.24235e-05,4.24235e-05
67,181.374,0.64697,0.48721,0.82405,0.73961,0.48968,0.5893,0.45798,0.77936,0.98099,0.8277,4.12454e-05,4.12454e-05,4.12454e-05
68,183.938,0.636,0.5096,0.81796,0.64121,0.53745,0.58643,0.45665,0.80103,0.98774,0.83348,4.00673e-05,4.00673e-05,4.00673e-05
69,186.49,0.70153,0.50477,0.82629,0.6508,0.5398,0.58394,0.45513,0.8073,0.99076,0.83089,3.88892e-05,3.88892e-05,3.88892e-05
70,189.102,0.66119,0.50013,0.82,0.67936,0.53022,0.58545,0.45594,0.80651,0.98615,0.83037,3.77111e-05,3.77111e-05,3.77111e-05
71,191.72,0.68721,0.48421,0.82926,0.68625,0.53171,0.58735,0.45933,0.81315,1.00747,0.83801,3.6533e-05,3.6533e-05,3.6533e-05
72,194.32,0.61905,0.47489,0.81694,0.67966,0.53999,0.59178,0.45629,0.81316,1.01672,0.83869,3.53549e-05,3.53549e-05,3.53549e-05
73,196.915,0.6258,0.47891,0.82486,0.67127,0.54509,0.59472,0.46037,0.80375,1.01461,0.83244,3.41768e-05,3.41768e-05,3.41768e-05
74,199.487,0.64228,0.47976,0.81997,0.64121,0.56688,0.59917,0.45781,0.7858,1.03186,0.83722,3.29987e-05,3.29987e-05,3.29987e-05
75,202.092,0.6583,0.48086,0.81085,0.64685,0.5789,0.59491,0.45776,0.78684,1.01793,0.83632,3.18206e-05,3.18206e-05,3.18206e-05
76,204.662,0.59536,0.43138,0.81943,0.67345,0.51568,0.58467,0.45761,0.77847,1.02059,0.83509,3.06425e-05,3.06425e-05,3.06425e-05
77,207.233,0.61552,0.46721,0.80239,0.68455,0.51633,0.58633,0.45906,0.77889,1.01379,0.83492,2.94644e-05,2.94644e-05,2.94644e-05
78,209.839,0.63637,0.47674,0.81575,0.69408,0.5135,0.5841,0.4612,0.77982,1.01191,0.83544,2.82863e-05,2.82863e-05,2.82863e-05
79,212.482,0.63612,0.48516,0.81743,0.69443,0.51592,0.58863,0.46156,0.76893,0.98516,0.82807,2.71082e-05,2.71082e-05,2.71082e-05
80,215.103,0.6285,0.46317,0.82477,0.69105,0.51424,0.58945,0.46522,0.77066,0.98726,0.82781,2.59301e-05,2.59301e-05,2.59301e-05
81,217.629,0.60418,0.45637,0.8151,0.6855,0.51233,0.59243,0.46553,0.77089,0.97391,0.82816,2.4752e-05,2.4752e-05,2.4752e-05
82,220.22,0.60007,0.44012,0.81323,0.63305,0.55383,0.59551,0.46958,0.76656,0.9475,0.83344,2.35739e-05,2.35739e-05,2.35739e-05
83,222.874,0.64765,0.46977,0.805,0.7441,0.46496,0.58719,0.46761,0.76759,0.94729,0.83305,2.23958e-05,2.23958e-05,2.23958e-05
84,225.461,0.62517,0.45521,0.80786,0.7513,0.45935,0.58257,0.46543,0.76901,0.95478,0.82756,2.12177e-05,2.12177e-05,2.12177e-05
85,228.024,0.62385,0.46365,0.81279,0.7565,0.45616,0.58303,0.46648,0.77538,0.95796,0.82854,2.00396e-05,2.00396e-05,2.00396e-05
86,230.573,0.60612,0.43507,0.81786,0.67729,0.51273,0.58071,0.46214,0.77613,0.94868,0.82959,1.88615e-05,1.88615e-05,1.88615e-05
87,233.14,0.61027,0.45145,0.81836,0.6839,0.51516,0.5806,0.46227,0.77708,0.94873,0.83055,1.76834e-05,1.76834e-05,1.76834e-05
88,235.742,0.63368,0.45293,0.82133,0.68987,0.51454,0.58083,0.4627,0.77285,0.95077,0.83096,1.65053e-05,1.65053e-05,1.65053e-05
89,238.295,0.61273,0.45082,0.81987,0.69155,0.51426,0.58275,0.46467,0.77514,0.94925,0.83106,1.53272e-05,1.53272e-05,1.53272e-05
90,240.841,0.64007,0.45796,0.81434,0.68715,0.51392,0.58523,0.46369,0.77966,0.94579,0.8354,1.41491e-05,1.41491e-05,1.41491e-05
91,277.054,0.65038,0.4997,0.80482,0.68974,0.51745,0.58211,0.45963,0.78024,0.92987,0.83718,1.2971e-05,1.2971e-05,1.2971e-05
92,279.65,0.70388,0.54174,0.82063,0.68441,0.52481,0.58331,0.46124,0.77005,0.91623,0.82298,1.17929e-05,1.17929e-05,1.17929e-05
93,282.106,0.70343,0.5328,0.83162,0.68018,0.52427,0.57922,0.46251,0.76823,0.92192,0.82051,1.06148e-05,1.06148e-05,1.06148e-05
94,284.614,0.68079,0.49252,0.82047,0.65464,0.55318,0.57342,0.4586,0.77207,0.93489,0.81634,9.4367e-06,9.4367e-06,9.4367e-06
95,287.105,0.65121,0.48297,0.80406,0.66994,0.53829,0.57531,0.44266,0.78325,0.95209,0.81851,8.2586e-06,8.2586e-06,8.2586e-06
96,289.664,0.65654,0.46761,0.82215,0.67317,0.53526,0.58491,0.45047,0.79247,0.95099,0.81921,7.0805e-06,7.0805e-06,7.0805e-06
97,292.138,0.64471,0.48056,0.81478,0.67423,0.5356,0.58551,0.45136,0.79668,0.95272,0.82087,5.9024e-06,5.9024e-06,5.9024e-06
98,294.669,0.65792,0.47437,0.81632,0.67211,0.53714,0.58402,0.45045,0.79245,0.94456,0.81901,4.7243e-06,4.7243e-06,4.7243e-06
99,297.178,0.67416,0.49314,0.82175,0.67527,0.52783,0.58695,0.44987,0.79669,0.94911,0.81974,3.5462e-06,3.5462e-06,3.5462e-06
100,299.713,0.67115,0.48467,0.80915,0.67631,0.5284,0.58501,0.43443,0.80432,0.94358,0.82062,2.3681e-06,2.3681e-06,2.3681e-06
